OV,Ton,Toff,Aon,Aoff,SV,WT,WF,WA,F,SG,A,T,Gap_Voltage_average,T_on,Normal_discharge_interval,Abnormal_discharge_interval,Execute,ratio,Energy_average,Small_current,Middle_current,Big_current,drum_error
12,13,8,7,8,34,7,7,6,6,6,3,20,80.3224,12.843,1122,123,1245,0.901205,0.282245,363,0,0,6.2837
12,13,8,7,8,34,7,7,6,6,6,3,20,82.2347,12.0005,3072,2135,5207,0.589975,0.8558,3453,1827,0,7.9499
12,13,8,7,8,34,7,7,6,6,6,3,20,82.4076,12.0041,3272,2174,5446,0.600808,0.842662,3249,1872,0,5.2507
12,13,8,7,8,34,7,7,6,6,6,3,20,81.7513,12.0025,3233,2198,5431,0.595286,0.833971,3426,1816,0,5.5667
12,13,8,7,8,34,7,7,6,6,6,3,20,81.8695,12.0015,3223,2120,5343,0.603219,0.84495,3290,1815,0,6.402
12,13,8,7,8,34,7,7,6,6,6,3,20,81.8547,12.003,3287,2148,5435,0.604784,0.846328,3446,1839,0,7.8518
12,15,10,9,10,38,9,8,7,8,6,3,20,81.5068,13.1992,853,97,950,0.897895,0.288231,256,6,0,13.4897
12,15,10,9,10,38,9,8,7,8,6,3,20,82.568,12.1083,3231,2187,5418,0.596346,0.872432,2593,2217,15,10.8628
12,15,10,9,10,38,9,8,7,8,6,3,20,82.1745,12.1339,3314,2069,5383,0.615642,0.865174,2483,2093,19,7.7888
12,15,10,9,10,38,9,8,7,8,6,3,20,81.8981,12.1088,3338,2160,5498,0.60713,0.859143,2552,2181,10,13.5828
12,15,10,9,10,38,9,8,7,8,6,3,20,82.309,12.1076,3381,2100,5481,0.616858,0.870833,2600,2193,10,9.7643
12,15,10,9,10,38,9,8,7,8,6,3,20,82.0226,12.1116,3460,2158,5618,0.615878,0.861747,2577,2207,9,11.0387
12,14,9,8,9,36,8,9,8,10,6,3,20,81.1759,13.2772,341,33,373,0.911765,0.290514,99,3,0,7.1264
12,14,9,8,9,36,8,9,8,10,6,3,20,82.7278,12.0103,3389,2076,5465,0.620128,0.889503,2902,2119,0,7.2058
12,14,9,8,9,36,8,9,8,10,6,3,20,82.0026,12.0277,3383,2097,5480,0.617336,0.850269,2810,2009,0,6.1679
12,14,9,8,9,36,8,9,8,10,6,3,20,82.0064,12.013,3316,2031,5347,0.620161,0.86628,2893,2019,0,6.6243
12,14,9,8,9,36,8,9,8,10,6,3,20,82.1677,12.0177,3296,2096,5392,0.611276,0.856291,2830,2007,0,4.9788
12,14,9,8,9,36,8,9,8,10,6,3,20,82.4693,12.0113,3448,2038,5486,0.628509,0.874995,2881,2095,0,5.065
16,13,10,8,10,36,7,9,7,6,8,5,20,89.8973,13.2455,439,30,469,0.936034,0.308531,133,2,0,7.8925
16,13,10,8,10,36,7,9,7,6,8,5,20,91.9838,12,2250,1966,4216,0.533681,0.945301,3173,2005,0,4.7004
16,13,10,8,10,36,7,9,7,6,8,5,20,91.9274,12.0006,2504,2005,4509,0.555334,0.922179,3185,2032,0,3.6727
16,13,10,8,10,36,7,9,7,6,8,5,20,91.2815,12,2419,2086,4505,0.536959,0.937495,3301,2045,0,3.9023
16,13,10,8,10,36,7,9,7,6,8,5,20,91.5157,12,2405,2074,4479,0.53695,0.931761,3235,2073,0,3.1364
16,13,10,8,10,36,7,9,7,6,8,5,20,91.6075,12.0011,2517,2079,4596,0.54765,0.92827,3236,2025,0,3.971
16,15,9,7,9,34,9,7,8,8,8,5,20,89.6521,12.2689,1490,306,1796,0.829621,0.270637,614,0,0,22.2761
16,15,9,7,9,34,9,7,8,8,8,5,20,92.4588,12.0011,2330,2176,4506,0.517088,0.920763,3110,1719,8,18.118
16,15,9,7,9,34,9,7,8,8,8,5,20,92.2497,12.0006,2458,2246,4704,0.522534,0.933107,3204,1801,6,19.5555
16,15,9,7,9,34,9,7,8,8,8,5,20,91.673,12.0006,2482,2205,4687,0.52955,0.953281,3183,1847,6,17.5652
16,15,9,7,9,34,9,7,8,8,8,5,20,92.1046,12,2455,2284,4739,0.518042,0.959593,3138,1938,9,15.5529
16,15,9,7,9,34,9,7,8,8,8,5,20,91.0117,12,2446,2250,4695,0.520869,0.966577,3191,1887,11,14.6023
16,14,8,9,8,38,8,8,6,10,8,5,20,88.4949,12.68,830,149,979,0.847804,0.272653,317,0,0,20.4409
16,14,8,9,8,38,8,8,6,10,8,5,20,91.8656,12,987,1008,1995,0.494737,1.0477,3517,2328,0,21.3497
16,14,8,9,8,38,8,8,6,10,8,5,20,92.6279,12,2271,2132,4403,0.515785,1.02975,3136,2301,0,18.8022
16,14,8,9,8,38,8,8,6,10,8,5,20,91.5721,12,2386,2199,4585,0.520393,1.01723,3245,2313,0,20.2226
16,14,8,9,8,38,8,8,6,10,8,5,20,91.9799,12,2420,2164,4584,0.527923,1.03963,3299,2349,0,17.0966
16,14,8,9,8,38,8,8,6,10,8,5,20,91.5349,12,2477,2197,4674,0.529953,1.05082,3244,2384,0,17.022
14,13,9,9,9,38,7,8,8,6,7,7,20,86.5895,13.5852,948,95,1043,0.908917,0.381336,241,65,0,12.578
14,13,9,9,9,38,7,8,8,6,7,7,20,87.8114,12,2930,2136,5066,0.578366,0.958603,3152,2230,0,9.8256
14,13,9,9,9,38,7,8,8,6,7,7,20,87.9015,12,3150,2113,5262,0.598518,0.915788,2956,2195,0,5.509
14,13,9,9,9,38,7,8,8,6,7,7,20,87.5211,12.0005,3029,2085,5114,0.592296,0.918727,3078,2109,0,5.5131
14,13,9,9,9,38,7,8,8,6,7,7,20,87.1051,12,3010,2159,5168,0.582318,0.941597,3094,2254,0,6.9705
14,13,9,9,9,38,7,8,8,6,7,7,20,87.4405,12.0016,3068,2110,5178,0.592507,0.924969,2965,2188,0,8.6021
